City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,79.12,71,40,18.41,thunderstorm with light rain
1,Avarua,CK,-21.2078,-159.775,75.25,69,40,5.75,scattered clouds
2,Port Alfred,ZA,-33.5906,26.891,70.18,93,97,8.01,overcast clouds
3,Butaritari,KI,3.0707,172.7902,81.05,72,49,12.39,scattered clouds
4,Kingaroy,AU,-26.5333,151.8333,59.76,99,46,3.13,scattered clouds
5,Purbalingga,ID,-7.3881,109.3639,75.9,92,98,1.16,overcast clouds
6,Skibbereen,IE,51.55,-9.2667,34.11,82,3,4.43,clear sky
7,Oriximina,BR,-1.7656,-55.8661,90.45,44,70,5.23,broken clouds
8,Port Moresby,PG,-9.4431,147.1797,74.62,100,40,11.5,fog
9,Lompoc,US,34.6391,-120.4579,54.79,86,75,8.05,broken clouds
10,Shenjiamen,CN,29.9576,122.298,52.21,62,98,11.18,overcast clouds
11,Upernavik,GL,72.7868,-56.1549,10.71,86,78,16.13,broken clouds
12,Nikolskoye,RU,59.7035,30.7861,21.09,92,100,8.79,overcast clouds
13,Busselton,AU,-33.65,115.3333,54.01,67,0,13.69,clear sky
14,Rikitea,PF,-23.1203,-134.9692,76.42,77,67,17.9,broken clouds
15,Mehamn,NO,71.0357,27.8492,17.55,73,0,12.66,clear sky
16,Hithadhoo,MV,-0.6,73.0833,82.11,76,100,16.35,overcast clouds
17,Tiznit,MA,29.5833,-9.5,65.3,62,84,3.74,broken clouds
18,Kavieng,PG,-2.5744,150.7967,81.01,77,84,7.99,light rain
19,Luang Prabang,LA,19.8856,102.1347,65.26,95,18,1.03,few clouds
20,Mataura,NZ,-46.1927,168.8643,52.38,97,73,0.98,broken clouds
21,Irbit,RU,57.6705,63.071,21.81,95,100,11.03,snow
22,Hermanus,ZA,-34.4187,19.2345,71.8,90,74,17.63,light rain
23,Kodiak,US,57.79,-152.4072,33.31,100,100,5.75,snow
24,Ketchikan,US,55.3422,-131.6461,30.18,63,38,5.14,scattered clouds
25,Atar,MR,20.5169,-13.0499,87.71,11,85,8.72,overcast clouds
26,Georgetown,MY,5.4112,100.3354,79.9,86,20,3.44,few clouds
